127.0.0.1 - - [26/Jul/2017:22:58:16 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/LoginServlet HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/css/bootstrap.min.css?v=3.3.6 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/css/font-awesome.css?v=4.4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/js/jquery.min.js?v=2.1.4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/js/bootstrap.min.js?v=3.3.6 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/css/style.css?v=4.1.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /ERP_011/LoginServlet HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [26/Jul/2017:22:58:17 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.1.105 - - [26/Jul/2017:22:58:29 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 63
192.168.1.105 - - [26/Jul/2017:22:58:34 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:00:58 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 63
192.168.1.105 - - [26/Jul/2017:23:04:18 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:04:37 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 63
192.168.1.105 - - [26/Jul/2017:23:04:43 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:05:44 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:06:25 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:07:04 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:09:08 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:09:36 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:09:43 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 63
192.168.1.105 - - [26/Jul/2017:23:09:53 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:10:07 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:15:12 +0800] "GET /ERP_011/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:15:12 +0800] "GET /ERP_011/LoginServlet HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:15:12 +0800] "GET /ERP_011/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:15:12 +0800] "GET /ERP_011/LoginServlet HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:15:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.1.105 - - [26/Jul/2017:23:15:18 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 63
192.168.1.105 - - [26/Jul/2017:23:18:46 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
192.168.1.105 - - [26/Jul/2017:23:18:56 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 64
192.168.1.105 - - [26/Jul/2017:23:19:04 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:19:37 +0800] "GET /ERP_011/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:19:37 +0800] "GET /ERP_011/LoginServlet HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:19:37 +0800] "GET /ERP_011/favicon.ico HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:19:37 +0800] "GET /ERP_011/LoginServlet HTTP/1.1" 200 1775
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:19:37 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.1.105 - - [26/Jul/2017:23:19:47 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 68
192.168.1.105 - - [26/Jul/2017:23:19:56 +0800] "POST /ERP_011/api/LoginServlet HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "POST /ERP_011/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/MainServlet HTTP/1.1" 200 11232
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/css/font-awesome.min.css?v=4.4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/layer/layer.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/css/plugins/sweetalert/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/metisMenu/jquery.metisMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/slimscroll/jquery.slimscroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/favicon.ico HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/hAdmin.js?v=4.1.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/sweetalert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/pace/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/taskServlet HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/layer/skin/layer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/fonts/fontawesome-webfont.woff2?v=4.4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/css/plugins/sweetalert/sweetalert_1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/content.js?v=1.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/content.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/footable/footable.all.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/fancybox/jquery.fancybox.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/sweetalert/sweetalert.min_1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:31:23 +0800] "GET /ERP_011/js/plugins/blueimp/jquery.blueimp-gallery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:23:43:33 +0800] "GET /ERP_011/LogoutServlet HTTP/1.1" 302 -
